Chemical Ingredient Name,API Number,OilAndGasGroup,Month,Production,Chemical Ingredient Mass (Thousand Pounds),Operator
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05640-0000,G,11,4853,1036.6691,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05551-0000,G,11,52.833332,1896.2324,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05811-0000,G,4,43.333332,1135.7402,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-06639-0000,G,11,1985.8334,2684.3396,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05577-0000,G,4,1097,600.1228,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05116-0000,G,4,1663.5,1069.4417,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05826-0000,G,4,1861.1666,1855.2307,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05525-0000,G,4,20,2386.8293,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05093-0000,G,4,210.33333,1.5067862,Hess
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05292-0000,G,5,1760.6666,1275.8712,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05528-0000,G,1,1725.5,1799.8485,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05500-0000,G,1,2167,1562.0431,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05523-0000,G,4,29.166666,1703.0453,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05528-0000,G,4,1.3333334,1799.8485,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05138-0000,G,4,1209.6666,334.85797,Hess
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05734-0000,G,4,4.1666665,1035.0043,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05206-0000,G,8,36.166668,716.10016,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-06036-0000,G,10,1157.5,1928.3098,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05539-0000,G,4,5408.1665,1049.8534,Petro-Hunt LLC
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05150-0000,G,5,1489.1666,861.60077,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05682-0000,G,4,333.83334,1678.5598,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-06416-0000,G,5,4360,1986.3212,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05457-0000,G,1,1100.6666,798.5968,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-06077-0000,G,4,3094.6667,922.90936,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05697-0000,G,10,329.33334,939.08734,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05245-0000,G,8,1322.1666,1261.1801,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05923-0000,G,1,5061,4269.501,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-06414-0000,G,4,52,2241.3447,Oasis Petroleum
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05563-0000,G,4,1077.8334,783.52234,ConocoPhillips
"Poly(oxy-1,2-ethanediyl), alpha-(4-nonylphenyl)-omega-hydroxy-, branched",33-053-05233-0000,G,1,366.66666,3254.6582,Petro-Hunt LLC
