SquareRootSum,Well Name,API Number
19441.716701207228,FOOL BEAR 23-34H,33-053-03460-0000
20522.544549643448,HALL #5-11H,33-053-03639-0000
26119.816139416067,TAT 150-94-32D-29H,33-053-03785-0000
26072.123414934966,TRIANGLE 149-101-1-12-2H,33-053-04052-0000
26195.16766963136,DOROTHY 16-12H,33-053-04215-0000
25665.899156898828,TRIANGLE 150-101-36-25-8H,33-053-04548-0000
25696.704602826023,WAHPETON 7-16H3,33-053-04749-0000
31020.665298661792,PRIDE 150-94-06A-18H TF,33-053-05333-0000
25378.71603097564,HIDATSA 150-94-32C-29H,33-053-03784-0000
25394.38032015942,RUBY 31-30HA,33-053-04283-0000
26420.618838174476,YAUCH 03-04-1H,33-053-04660-0000
25041.17540021634,BANJO 149-94-02B-01H TF,33-053-04787-0000
25553.370287742866,LAWLAR 3-5-8TH,33-053-04807-0000
18621.236625197584,SAND CREEK STATE 153-96-16-2H,33-053-04822-0000
28690.376112947702,COLUMBUS FEDERAL 2-16H,33-053-04855-0000
26255.893713391284,FORT BERTHOLD 152-94-11B-14-7H,33-053-04971-0000
25079.53358898247,JADE 5200 21-28T,33-053-04983-0000
24575.292574097668,WASHBURN 42-36TFH,33-053-05015-0000
26257.76411045693,SUNLINE 31-1TFH-7SH,33-053-05016-0000
25845.730298463226,DUKE 34X-31E,33-053-05074-0000
25980.743877148707,PONCHO 2-3-10TH,33-053-05117-0000
21656.769367938978,ARCHER 44-25MBH,33-053-05121-0000
25190.71701242543,BIG BEND 11-2TFH,33-053-05161-0000
25823.547031050944,VEEDER 2-27-34BH,33-053-05242-0000
25526.45790729493,POGO 28-33-27-34LL,33-053-05248-0000
19707.75499444064,MACK 8-2H,33-053-05347-0000
19635.4596020796,MOSES 21X-9A,33-053-06209-0000
24815.745235644245,THOMPSON 5-29-32BHD,33-053-06416-0000
25829.06469585184,PONCHO 2-3-10BH,33-053-05116-0000
24569.53321445892,BB-BELQUIST- 150-95-1110H-4,33-053-05399-0000
25336.227567514863,TIMBER CREEK 13-24 2H,33-053-04237-0000
25983.467762638997,BEAVER CREEK 149-94-31D-30H TF,33-053-04490-0000
25005.383618782977,GRASSY KNOLL 2-11H,33-053-04786-0000
26204.29668267401,DIAMOND 11-12-1H,33-053-04658-0000
26595.104424402998,HOROVITZ 10-09-1H,33-053-04659-0000
28173.15300900664,COLUMBUS FEDERAL 3-16H,33-053-04856-0000
25755.48973888868,MORSETTE 35-26HZ,33-053-04860-0000
24719.30320433001,ROLFSRUD STATE 14X-36A,33-053-04942-0000
25972.61635037179,RISING SUN 31-1TFH-7NH,33-053-05017-0000
26088.722940887696,MARGARET 5-8 #3TFH-R,33-053-05036-0000
26005.02879152607,AKRON 5-34H1,33-053-05067-0000
24701.15319507168,HA-CHAPIN 152-95-3229H-3,33-053-05138-0000
26003.792041471566,TAT 4-35-26BH,33-053-05181-0000
24630.977722065763,MONTPELIER 2-14H,33-053-05260-0000
26506.42547371486,BRODERSON 31X-27G,33-053-05270-0000
25976.476897654924,WISNESS 14-34-2H,33-053-05297-0000
25412.782200018948,GLOVATSKY 145-98-24D-13-2H,33-053-05341-0000
24535.74884322058,VAN HISE TRUST 153-95-28D-21-2HS,33-053-05496-0000
26300.226632247868,KALE BAD BRAVE 19-18HW,33-053-05609-0000
26199.278746324297,FORT BERTHOLD 152-93-7C-6-6H,33-053-06586-0000
25483.595994680578,MARLENE 42X-20H,33-053-04976-0000
24904.500918259735,KOALA WOLD 153-97-1-5-8-15H3,33-053-05051-0000
25039.996728506176,BIG SUN 41-2MBH-ULW,33-053-05158-0000
26863.232717601208,JOHNSTON 7-6 #6H,33-053-05184-0000
24840.867753997645,MONTPELIER 3-14H1,33-053-05200-0000
26117.94701541643,VEEDER 2-27-34TH,33-053-05243-0000
25790.174357231477,PONCHO  5-3-10BH,33-053-05250-0000
